Latitude,Longitude,Postcode,Region Type,Sector,Suburb,Type,﻿Name
-37.8354,145.025,3142,Major Cities,Non-Gov,Toorak,Combined,St Kevin's College
-37.8334,145.021,3142,Major Cities,Non-Gov,Toorak,Combined,St Kevin's College - Glendalough
-37.8213,144.998,3121,Major Cities,Non-Gov,Richmond,Combined,St Kevin's College - Waterford
-32.9428,151.666,2285,Major Cities,Non-Gov,Cardiff,Primary,St Kevin's Primary School
"-37.7613, -38.0393, -27.3739, -28.0046","145.123, 145.267, 153.047, 153.391","3107, 3976, 4034, 4217",Major Cities,Non-Gov,"Templestowe Lower, Hampton Park, Geebung, Benowa",Primary,St Kevin's School
-31.9027,115.831,6060,Major Cities,Non-Gov,Tuart Hill,Primary,St Kieran Catholic Primary School
-33.78191,151.267,2093,Major Cities,Non-Gov,Manly Vale,Primary,St Kieran's Catholic Primary School
-20.7153,139.507,4825,Remote,Non-Gov,Mount Isa,Primary,St Kieran's Catholic School
"-27.2939, -38.1794","153.055, 146.254","4017, 3825","Major Cities, Inner Regional",Non-Gov,"Brighton, Moe",Primary,St Kieran's School
-37.8582,144.978,3182,Major Cities,Gov,St Kilda,Primary,St Kilda Park Primary School
-37.8693,144.988,3182,Major Cities,Gov,St Kilda,Primary,St Kilda Primary School
-36.7539,144.285,3550,Inner Regional,Non-Gov,Bendigo,Primary,St Kilian's School
-32.9191,151.734,2292,Major Cities,Non-Gov,Broadmeadow,Special,St Laurence Flexible Learning Centre
-38.4789,145.954,3953,Inner Regional,Non-Gov,Leongatha,Primary,St Laurence O'Toole School
-32.2604,148.612,2830,Inner Regional,Non-Gov,Dubbo,Primary,St Laurence's Catholic Primary School
-27.487,153.025,4101,Major Cities,Non-Gov,South Brisbane,Combined,St Laurence's College
-33.3793,148.009,2871,Outer Regional,Non-Gov,Forbes,Primary,St Laurence's Parish School
-37.7921,144.761,3030,Major Cities,Non-Gov,Derrimut,Primary,St Lawrence Catholic Primary School
-37.73249944,144.5726374,3338,Major Cities,Non-Gov,Weir Views,Primary,St Lawrence of Brindisi Catholic Primary School
-31.8791,115.828,6021,Major Cities,Non-Gov,Balcatta,Primary,St Lawrence Primary School
-22.3449,149.53,4707,Remote,Gov,St Lawrence,Primary,St Lawrence State School
-31.2752,149.273,2357,Outer Regional,Non-Gov,Coonabarabran,Primary,St Lawrence's Catholic Primary School
-28.7443,114.622,6530,Outer Regional,Non-Gov,Geraldton,Primary,St Lawrence's Primary School
-37.8397,144.851,3025,Major Cities,Non-Gov,Altona North,Primary,St Leo the Great Primary School
-37.9286,145.008,3187,Major Cities,Non-Gov,Brighton East,Combined,St Leonard's College
"-34.9723, -38.1719, -41.4597","138.52, 144.715, 147.2","5045, 3223, 7250","Major Cities, Inner Regional, Inner Regional",Gov,"Glenelg North, St Leonards, St Leonards",Primary,St Leonards Primary School
-37.8868,145.164,3150,Major Cities,Non-Gov,Glen Waverley,Primary,St Leonard's School
-33.7149,151.105,2076,Major Cities,Non-Gov,Wahroonga,Secondary,St Leo's Catholic College
